DrugName,ChemicalComposition,Description
Doconexent, C22H32O2,An omega 3 fatty acid used in a variety of nutritional supplements to support central nervous system and cardiovascular health.
Docosanol, C22H46O,An antiviral used to treat orofacial herpes sores.
Enprofylline, C8H10N4O2,"Used in the management of symptoms of asthma. Also used in the treatment of peripheral vascular diseases and in the management of cerebrovascular insufficiency, sickle cell disease, and diabetic neuropathy."
Ensulizole, C13H10N2O3S,An ingredient used in sunscreens to absorb UVB radiation.
Entacapone, C14H15N3O5,A selective reversible catechol-O-methyltransferase inhibitor for the treatment of Parkinson's disease.
Entecavir, C12H15N5O3,"A nucleoside analogue used in the treatment of chronic hepatitis B for patients with active viral replication, histological evidence of active disease, or persistent elevations in liver transaminases."
Entrectinib, C31H34F2N6O2,Entrectinib is indicated for the treatment of metastatic ROS1-positive non-small cell lung cancer in adults. Entrectinib is also indicated in adults and children over 12 years old for the treatment...
Enzacamene, C18H22O,An ingredient used in sunscreen to block UVB radiation.
Enzalutamide, C21H16F4N4O2S,A second-generation androgen receptor inhibitor used to treat castration-resistant prostate cancer and metastatic castration-sensitive prostate cancer.
Ephedrine, C10H15NO,"An alpha and beta-adrenergic agonist indicated to treat hypotension under anesthesia, allergic conditions, bronchial asthma, and nasal congestion."
Epicriptine, C32H43N5O5,A nootropic with an unknown mechanism of action indicated in individuals over sixty who manifest signs and symptoms of an idiopathic decline in mental capacity.
Epinastine, C16H15N3,An H1 receptor antagonist used to prevent itching in allergic conjunctivitis.
Epinephrine, C9H13NO3,"A hormone and neurotransmitter used to treat allergic reactions, to restore cardiac rhythm, and to control mucosal congestion, glaucoma, and asthma."
Epirubicin, C27H29NO11,An anthracycline topoisomerase II inhibitor used as an adjuvant to treating axillary node metastases in patients who have undergone surgical resection of primary breast cancer.
Eplerenone, C24H30O6,An aldosterone receptor antagonist used to improve survival of patients with symptomatic heart failure and to reduce blood pressure.
Epoprostenol, C20H32O5,A vasodilator and platelet aggregation inhibitor used for the management of primary pulmonary hypertension and pulmonary hypertension in patients with heart failure.
Eprosartan, C23H24N2O4S,"An ARB used to treat hypertension, diabetic nephropathy, and congestive heart failure."
Eravacycline, C27H31FN4O8,A tetracycline antibiotic used to treat complicated intra-abdominal infections.
Erdafitinib, C25H30N6O2,A fibroblast growth factor receptor tyrosine kinase inhibitor used to treat locally advanced or metastatic urothelial carcinoma.
Erdosteine, C8H11NO4S2,A mucolytic agent used to treat conditions characterized by pathological mucus such as respiratory tract infections and chronic obstructive pulmonary disease (COPD).
Ergocalciferol, C28H44O,A vitamin found in many supplement products.
Ergoloid mesylate,,A nootropic with an unknown mechanism of action indicated in individuals over sixty who manifest signs and symptoms of an idiopathic decline in mental capacity.
Ergometrine, C19H23N3O2,An ergot alkaloid used for the treatment of postpartum haemorrhage and post abortion hemorrhage in patients with uterine atony.
Ergosterol, C28H44O,"A steroid of interest both because its biosynthesis in FUNGI is a target of ANTIFUNGAL AGENTS, notably AZOLES, and because when it is present in SKIN of animals, ULTRAVIOLET RAYS..."
Ergotamine, C33H35N5O5,An alpha-1 selective adrenergic agonist vasoconstrictor used to treat migraines with or without aura and cluster headaches.
Eribulin, C40H59NO11,A microtubule inhibitor used to treat metastatic breast cancer and metastatic or unresectable liposarcoma.
Erlotinib, C22H23N3O4,An EGFR tyrosine kinase inhibitor used to treat certain small cell lung cancers or advanced metastatic pancreatic cancers.
Docusate, C20H38O7S,"A medication used to treat constipation associated with dry, hard stools, or opioid induced constipation."
Dofetilide, C19H27N3O5S2,A class III antiarrhythmic drug used for the maintenance of normal sinus rhythm and cardioversion in cases of atrial fibrillation and atrial flutter.
Dolasetron, C19H20N2O3,An antinauseant and antiemetic used in chemotherapy and postoperatively.
Eszopiclone, C17H17ClN6O3,"A sedative-hypnotic used in the treatment of insomnia, improving both the latency phase and the maintenance phase of sleep."
Etacrynic acid, C13H12Cl2O4,"A diuretic used to treat ascites and edema in congestive heart failure, liver cirrhosis, and renal disease."
Etafedrine, C12H19NO,A beta-2 adrenoceptor agonist used to treat a cough associated with inflamed mucosa.
Etelcalcetide, C38H73N21O10S2,A calcium sensing receptor agonist used to treat secondary hyperparathyroidism in patients with chronic kidney disease who require hemodialysis.
Dolutegravir, C20H19F2N3O5,An antiviral agent used for the treatment of HIV-1 infections in combination with other antiretroviral agents.
Domiphen, C22H40NO,"Anti-infective (topical), it is used for the treatment of Acute Infectious Dental Diseases and other conditions."
Domperidone, C22H24ClN5O2,"A dopamine receptor antagonist used as a peristaltic stimulant and anti-emetic agent for dyspepsia, indigestion, epigastric pain, nausea, and vomiting."
Donepezil, C24H29NO3,An acetylcholinesterase inhibitor used to treat the behavioral and cognitive effects of Alzheimer's Disease and other types of dementia.
Dopamine, C8H11NO2,"A catecholamine neurotransmitter used to treat hemodynamic imbalances, poor perfusion of vital organs, low cardiac output, and hypotension."
Dopexamine, C22H32N2O2,"Dopexamine has been used in trials studying the diagnostic and treatment of Free Flap, Oral Cancer, Hypotension, Septic Shock, and Head and Neck Cancer."
Doravirine, C17H11ClF3N5O3,A non-nucleoside reverse transcriptase inhibitor used in combination with other antiretrovirals to treat HIV-1 infections.
Doripenem, C15H24N4O6S2,An antibiotic of the penem class used to treat complicated intra-abdominal and urinary tract infections.
Dorzolamide, C10H16N2O4S3,A carbonic anhydrase inhibitor used to treat high intraocular pressure in ocular hypertension and open angle glaucoma.
Ethambutol, C10H24N2O2,An antituberculosis agent used in the prophylaxis and treatment of tuberculosis (TB).
Ethanol, C2H6O,"For therapeutic neurolysis of nerves or ganglia for the relief of intractable chronic pain in such conditions as inoperable cancer and trigeminal neuralgia (tic douloureux), in patients for whom neurosurgical..."
Ethanolamine oleate, C20H41NO3,A mild sclerosing agent used in the treatment of esophageal varices with recent bleeding episodes.
Ethchlorvynol, C7H9ClO,A sedative hypnotic agent used for the short-term management of insomnia.
Ethinamate, C9H13NO2,"Used for the short-term treatment of insomnia, however, it generally has been replaced by other sedative-hypnotic agents."
Ethinylestradiol, C20H24O2,An estradiol used as a contraceptive.
Ethiodized oil,,A contrast agent used in imaging procedures.
Ethionamide, C8H10N2S,A second line antitubercular agent used to treat tuberculosis when other treatments have failed.
Dosulepin, C19H21NS,A tricyclic antidepressant commonly used only in patients for whom alternative therapies are ineffective due to its toxicity potential.
Dotatate, C65H90N14O19S2,
Dotatate gallium Ga-68, C65H87GaN14O19S2,Dotatate gallium 68 is one of the most prominent radiopharmaceuticals used in imaging with positron emission tomography. It binds to the somatostatin-2 receptor which is usually overexpressed in many neuroendocrine...
Doxacurium, C56H78N2O16,"A nondepolarizing neuromuscular blocking agent used as an adjunct to general anesthesia to facilitate tracheal intubation, and to provide skeletal muscle relaxation during surgical procedures."
Doxapram, C24H30N2O2,A short acting respiratory stimulant used to treat acute respiratory insufficiency in COPD patients.
Doxazosin, C23H25N5O5,An alpha-1 adrenergic receptor used to treat mild to moderate hypertension and urinary obstruction due to benign prostatic hyperplasia.
Doxepin, C19H21NO,"A psychotropic agent used for the treatment of depression, anxiety, manic-depressive disorder, and insomnia."
Doxercalciferol, C28H44O2,A synthetic vitamin D2 analog used to treat secondary hyperparathyroidism in patients with chronic kidney disease with or without therapy of dialysis.
Doxorubicin, C27H29NO11,"A medication used to treat various cancers, including AIDS-associated Kaposi's Sarcoma and metastatic cancers."
Ethoheptazine, C16H23NO2,Ethoheptazine is marketed under the name Zactane. It is a phenazepine based opioid analgesic. It was invented in the 1950s and is related to other drugs such as proheptazine. Ethoheptazine...
Ethosuximide, C7H11NO2,An anticonvulsant used to treat petit mal seizures.
Ethotoin, C11H12N2O2,A hydantoin antiepileptic used to control tonic-clonic and complex partial seizures.
Ethyl chloride, C2H5Cl,A local anesthetic.
Ethyl ferulate, C12H14O4,
Ethyl hydroxybenzoate, C9H10O3,
Ethyl macadamiate,,Ethyl macadamiate is derived from Macadamia terifolia seed oil. It is a non-volatile ester of ethyl alcohol and the fatty acids. Ethyl macadamiate is used in cosmetics and personal care...
Ethyl salicylate, C9H10O3,A salicylate indicated in the treatment of sports related pain.
Ethylenediamine, C2H8N2,Ethylenediamine is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years...
Doxycycline, C22H24N2O8,A tetracycline antibiotic used to treat a wide variety of bacterial infections.
Doxylamine, C17H22N2O,An antihistamine used to treat insomnia and allergy symptoms and is used with pyridoxine in the treatment of nausea and vomiting in pregnancy.
Drometrizole trisiloxane, C24H39N3O3Si3,An UV ray absorbing agent used in sunscreens to protect skin from UV radiation.
Dronabinol, C21H30O2,A synthetic delta-9-THC used in the treatment of anorexia and weight loss in HIV patients as well as nausea and vomiting in cancer chemotherapy.
Ethylhexyl methoxycrylene, C25H29NO3,Ethylhexyl methoxycrylene is employed as a photostabilizing agent in various sunscreen products .
Ethynodiol diacetate, C24H32O4,An oral contraceptive used to prevent pregnancy.
Etidocaine, C17H28N2O,"Etidocaine is marketed under the name Duranest. It is an injectable local anesthetic during surgery, labor, and delivery. Etidocaine has a long duration of activity, but has the main disadvantage..."
Etidronic acid, C2H8O7P2,A bisphosphonate drug that prevents osteoclastic bone resorption; used for the prevention and treatment of osteoporosis.
Ertapenem, C22H25N3O7S,A carbapenem antibiotic used for the treatment of moderate to severe infections caused by susceptible bacteria.
Ertugliflozin, C22H25ClO7,An SGLT2 inhibitor used to treat type 2 diabetes mellitus alone or in combination with other antidiabetic drugs.
Erythrityl tetranitrate, C4H6N4O12,For the prevention of angina.
Erythromycin, C37H67NO13,A macrolide antibiotic used to treat and prevent a variety of bacterial infections.
Escitalopram, C20H21FN2O,"A selective serotonin re-uptake inhibitor used in the treatment of major depressive disorder (MDD), generalized anxiety disorder (GAD), and other select psychiatric disorders such as obsessive-compulsive disorder (OCD)."
Esculin, C15H16O9,"As medication, esculin is sometimes used as a vasoprotective agent.
Esculin is also used in a microbiology laboratory to aid in the identification of bacterial species (especially Enterococci and Listeria),..."
Esketamine, C13H16ClNO,A NMDA receptor antagonist used for treatment-resistant depression.
Eslicarbazepine, C15H14N2O2,An antiepileptic indicated as a monotherapy or adjunct therapy in the treatment of epilepsy.
Eslicarbazepine acetate, C17H16N2O3,An anticonvulsant agent used as an adjunct to treat partial-onset seizures in patients with inadequate clinical response to conventional antiepileptic therapy.
Dihydroergocornine, C31H41N5O5,A nootropic with an unknown mechanism of action indicated in individuals over sixty who manifest signs and symptoms of an idiopathic decline in mental capacity.
Dihydroergocristine, C35H41N5O5,An ergot alkaloid used to delay progressive mental decline in conditions like Alzheimer's.
Dihydroergotamine, C33H37N5O5,An ergot alkaloid used in the acute treatment of migraine headache and cluster headache.
Esmolol, C16H25NO4,"A cardioselective beta-adrenergic blocker used for the short-term control of ventricular rate and heart rate in various types of tachycardia, including perioperative tachycardia and hypertension."
Esomeprazole, C17H19N3O3S,"A proton pump inhibitor used to treat GERD, reduce the risk of NSAID associated gastric ulcers, eradicate H. pylori, and to treat conditions causing gastric acid hypersecretion."
Estazolam, C16H11ClN4,A benzodiazepine used for the short-term management of insomnia.
Esterified estrogens,,A female hormone used to treat conditions related to estrogen deficiency and moderate to severe vasomotor menopausal symptoms in women.
Estetrol, C18H24O4,An estrogen used in combination with drospirenone for oral contraception.
Estradiol, C18H24O2,"An estrogenic steroid used to treat vasomotor symptoms of vulvar and vaginal atrophy in menopause, hypoestrogenism, prevention of postmenopausal osteoporosis, treatment of breast cancer, and advanced androgen-dependent carcinoma of the prostate."
Estradiol acetate, C20H26O3,An estrogen used to treat vasomotor symptoms and moderate to severe vulvar and vaginal atrophy from menopause.
Estradiol benzoate, C25H28O3,An estrogen indicated in combination with progesterone for the treatment of irregular menstruation.
Dihydrostreptomycin, C21H41N7O12,"Dihydrostreptomycin is an aminoglycoside antibiotic. In humans, the use of dihydrostreptomycin has been associated with ototoxicity. The FDA withdrew its approval for the use of all drug products containing dihydrostreptomycin..."
Dihydrotachysterol, C28H46O,A synthetic analog of vitamin D that does not require renal activation like vitamin D2 or Vitamin D3.
Diiodohydroxyquinoline, C9H5I2NO,Used in the treatment of amoebiasis.
Diloxanide furoate, C14H11Cl2NO4,"Diloxanide is used alone as a primary agent in the treatment of asymptomatic (cyst passers) intestinal amebiasis caused by Entamoeba histolytica. Diloxanide may also be used concurrently, or sequentially, with..."
Diltiazem, C22H26N2O4S,A calcium channel blocker used to treat hypertension and to manage chronic stable angina.
Dimazole, C15H23N3OS,Dimazole (diamthazole) is an antifungal. It was withdrawn in Franch in 1972 due to neuropsychiatric reactions.
Dimenhydrinate, C24H28ClN5O3,"A medication used to prevent and treat nausea, vomiting, vertigo, and motion sickness."
Dimercaprol, C3H8OS2,"A chelating agent used as an antidote to arsenic, gold, and mercury poisoning, as well as acute lead poisoning in combination with edetate calcium disodium."
Estradiol cypionate, C26H36O3,An estradiol prodrug used to treat vasomotor symptoms and hypoestrogenisms from hypogonadism.
Estradiol dienanthate, C32H48O4,An estrogen used in some combined hormonal oral contraceptives.
Estradiol valerate, C23H32O3,"An estradiol prodrug used to treat some effects of menopause, hypoestrogenism, androgen dependant carcinoma of the prostate, and in combination products for endometriosis and contraception."
Estramustine, C23H31Cl2NO3,An antineoplastic agent used for the management of metastatic and/or progressive prostate cancer in palliative setting.
Estramustine phosphate, C23H32Cl2NO6P,"A nitrogen mustard linked to estradiol, usually as phosphate; used to treat prostatic neoplasms; also has radiation protective properties."
Estriol, C18H24O3,"A weak estrogen used to treat vaginal dryness and estrogen deficiency conditions, such as vaginitis and vulvar itching."
Estrone, C18H22O2,An estrogen used to treat perimenopausal and postmenopausal symptoms.
Estrone sulfate, C18H22O5S,An estrogen used as monotherapy or in several combination hormone replacement products for managing menopause symptoms and hormone disorders.
Dimercaptosuccinic acid, C4H6O4S2,
Dimethicone,,An ingredient used to treat dry and irritated eyes.
Dimethicone 410,,"Dimethicone is approved as a transdermal drug delivery system. Dimethicone 410 is part of the simethicone element in Dow Corning Q7-2242 LVA which is an antifoam.[L2163, L2166] Some OTC's containing..."
Dimethyl fumarate, C6H8O4,A medication used to treat patients with the relapsing-remitting form of multiple sclerosis.
Dimethyl sulfoxide, C2H6OS,"A reversible mitogen-activated extracellular signal-regulated kinase-1 (MEK1) and MEK2 inhibitor used to treat certain types of melanoma, metastatic non-small cell lung cancer, and locally advanced or metastatic anaplastic thyroid cancer."
Dimetindene, C20H24N2,A 1st generation selective H1 antagonist used topically as an antipruritic and orally to treat allergies.
Dimetotiazine, C19H25N3O2S2,Dimetotiazine has considerable antiemetic &amp; serotonin antagonistic action used mainly in allergic skin conditions.
Dinoprost, C20H34O5,A medication used to induce a second trimester abortion.
Dinoprost tromethamine, C24H45NO8,Used for aborting second-trimester pregnancy (between the twelfth to eighteenth week of gestation) and in incomplete abortion or for therapeutic abortion in cases of intrauterine fetal death and congenital abnormalities...
Dinoprostone, C20H32O5,A prostaglandin used to induce labor or abortion as well as to treat nonmetastatic gestational trophoblastic disease.
Dioctyldimonium, C18H40N,
Diosmin, C28H32O15,A citrus flavonoid medication used to support vascular health.
Dioxybenzone, C14H12O4,A benzophenone derivative used in sunscreens to block UVB and short-wave UVA radiation.
Dipentamethylenethiuram disulfide, C12H20N2S4,
Dronedarone, C31H44N2O5S,An antiarrhythmic agent used in the reduce the risk of hospitalization in patients with paroxysmal or persistent atrial fibrillation.
Droperidol, C22H22FN3O2,A butyrophenone derivative and dopamine antagonist used to prevent and treat postoperative nausea and vomiting.
Drospirenone, C24H30O3,A progestin used in oral contraceptive pills for the prevention of pregnancy and other conditions.
Drostanolone propionate, C23H36O3,"For use in females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal."
Drotaverine, C24H31NO4,A phosphodiesterase-4 inhibitor used to alleviate gastrointestinal and genitourinary smooth muscle spasms.
Droxidopa, C9H11NO5,"A medication used to treat symptomatic neurogenic orthostatic hypotension (nOH) caused by dopamine beta-hydroxylase deficiency, non-diabetic autonomic neuropathy and primary autonomic failure caused by conditions such as Parkinson's disease."
Duloxetine, C18H19NOS,"A serotonin norepinephrine reuptake inhibitor used to treat generalized anxiety disorder, neuropathic pain, osteoarthritis, and stress incontinence."
Durlobactam, C8H11N3O6S,"A non-beta-lactam, beta-lactamase inhibitor used to treat hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia."
Dutasteride, C27H30F6N2O2,An antiandrogenic compound that is used for the treatment of symptomatic benign prostatic hyperplasia (BPH) in adult males by inhibiting 5-alpha reductase.
Duvelisib, C22H17ClN6O,An inhibitor of phosphatidylinositol 3-kinase delta and gamma used to treat relapsed or refractory chronic lymphocytic leukemia or small lymphocytic lymphoma.
Dyclonine, C18H27NO2,An topical anesthetic used prior to examination to suppress the gag reflex or for pain relief from canker sores and fever blisters.
Dydrogesterone, C21H28O2,"A synthetic progesterone for menstrual cycle regulation, infertility treatment, prevention of miscarriage, and other conditions."
Dyphylline, C10H14N4O4,"A theophylline derivative used to treat asthma, bronchospasm, and COPD."
Ebastine, C32H39NO2,A second generation H1-receptor antagonist useful in the treatment of allergic rhinitis and urticaria.
Ecamsule, C28H34O8S2,A sunscreen agent found in sunscreens that absorbs UV rays.
Echothiophate, C9H23NO3PS,An acetylcholinesterase inhibitor used in ophthalmic preparations to increase the drainage of intraocular fluid; most commonly used for the treatment of glaucoma.
Econazole, C18H15Cl3N2O,"A topical antifungal used to treat tinea pedis, tinea cruris, tinea corporis, cutaneous candidiasis and tinea versicolor."
Edaravone, C10H10N2O,A free radical scavenger used to delay the progression of ALS.
Edetate calcium disodium anhydrous, C10H12CaN2Na2O8,A chelating agent used to treat lead poisoning.
Edetate disodium anhydrous, C10H14N2Na2O8,A polyvalent ion chelator indicated for emergency treatment of hypercalcemia and digitalis toxicity associated ventricular arrhythmias.
Edetic acid, C10H16N2O8,A chelating agent used to treat mercury and lead toxicity and some blood transfusion dependent anemias.
Edotreotide gallium Ga-68, C65H89GaN14O18S2,A radioactive diagnostic agent used in PET scans for somatostatin receptor positive neuroendocrine tumors in adult and pediatric patients.
Edoxaban, C24H30ClN7O4S,A novel oral anticoagulant used for reducing the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF).
Edoxudine, C11H16N2O5,A deoxythymidine analog used to treat herpetic keratitis.
Edrophonium, C10H16NO,A cholinesterase inhibitor used to diagnose and evaluate myasthenia gravis.
Fluorouracil, C4H3FN2O2,"A pyrimidine analog used to treat basal cell carcinomas, and as an injection in palliative cancer treatment."
Fluoxetine, C17H18F3NO,"A selective serotonin reuptake inhibitor used to treat major depressive disorder, bulimia, OCD, premenstrual dysphoric disorder, panic disorder, and bipolar I."
Fluoxymesterone, C20H29FO3,"A synthetic androgenic anabolic steroid that used in the treatment of hypogonadism and delayed puberty in males, as well as breast neoplasms in women."
Flupentixol, C23H25F3N2OS,A thioxanthene neuroleptic used to treat schizophrenia and depression.
Fluphenazine, C22H26F3N3OS,A phenothiazine used to treat patients requiring long-term neuroleptic therapy.
Fluprednisolone, C21H27FO5,A synthetic glucocorticoid with anti-inflammatory properties.
Flurandrenolide, C24H33FO6,A corticosteroid used to treat corticosteroid-responsive dermatoses.
Flurazepam, C21H23ClFN3O,A long-acting benzodiazepine with a rapid onset of action that is commonly used to treat insomnia.
Flurbiprofen, C15H13FO2,An NSAID used to treat the signs and symptoms of osteoarthritis and rheumatoid arthritis.
Fluspirilene, C29H31F2N3O,An antipsychotic agent used in the treatment of schizophrenia.
Flutamide, C11H11F3N2O3,An antiandrogen used for locally confined stage B2-C and D-2 metastatic prostate carcinoma.
Flutemetamol (18F), C14H11FN2OS,A radiopharmaceutical diagnostic agent used during Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients to diagnose the causes of cognitive impairment.
Fluticasone, C22H27F3O4S,"A corticosteroid indicated in the treatment of corticosteroid responsive dermatoses, asthma, and COPD."
Fluticasone furoate, C27H29F3O6S,An inhaled corticosteroid that can be used as maintenance treatment of asthma and/or chronic obstructive pulmonary disease (COPD) depending on the product. Also available as a nasal spray to manage symptoms of allergic rhinitis.
Fluticasone propionate, C25H31F3O5S,"A glucocorticoid used to treat asthma, inflammatory pruritic dermatoses, and nonallergic rhinitis."
Fluvastatin, C24H26FNO4,An HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular disease including myocardial infarction and stroke.
Fluvoxamine, C15H21F3N2O2,A selective serotonin-reuptake inhibitor used to treat obsessive-compulsive disorder.
Folic acid, C19H19N7O6,A nutrient used to treat megaloblastic anemia and is found in many supplements.
Fomepizole, C4H6N2,An inhibitor of alcohol dehydrogenase used as an antidote in confirmed or suspected methanol or ethylene glycol poisoning.
Fondaparinux, C31H53N3O49S8,"An anticoagulant used to prevent venous thromboembolism, to treat deep vein thrombosis, and to improve survival following myocardial infarction."
Formaldehyde, CH2O,"A naturally occurring hazardous organic compound used as a preservative in animal feed, cosmetic products, laboratory procedures, disinfection, and home building products."
Formestane, C19H26O3,For the treatment of estrogen-receptor positive breast cancer in post-menopausal women.
Formoterol, C19H24N2O4,An inhaled long-acting beta2-adrenergic receptor agonist used as a bronchodilator in the management of asthma and COPD.
Fosamprenavir, C25H36N3O9PS,An antiretroviral agent used for the treatment and postexposure prophylaxis of human immunodeficiency virus (HIV-1) infection.
Fosaprepitant, C23H22F7N4O6P,An antiemetic drug used in combination with other antiemetic agents for the prevention of acute and delayed nausea and vomiting caused by chemotherapy.
Etilefrine, C10H15NO2,An adrenergic agonist primarily of α1 and β1 receptors used as an anti-hypotensive.
Etodolac, C17H21NO3,"An NSAID used to treat osteoarthritis and rheumatoid arthritis, as well as acute pain."
Etofamide, C19H20Cl2N2O5,"Etofamide is used as an antiamoebic agent. Etofamide, under the brand name Kitnos, was marketed in Brazil by Pfizer but has been discontinued ."
Etomidate, C14H16N2O2,A short-acting intravenous anesthetic indicated for the induction of anesthesia and supplementation of subpotent anesthesia during short operative procedures.
Etonogestrel, C22H28O2,A long-acting synthetic derived progestin contraceptive used in various devices such as contraceptive rings and intradermal implants.
Etoposide, C29H32O13,A podophyllotoxin derivative used to treat testicular and small cell lung tumors.
Etoricoxib, C18H15ClN2O2S,A selective COX-2 inhibitor used to relieve moderate post-surgical dental pain as a short-term treatment and inflammatory and painful symptoms of various forms of arthritis.
Etrasimod, C26H26F3NO3,An S1P receptors modulator used to treat moderate to severely active ulcerative colitis in adults
Etravirine, C20H15BrN6O,A non-nucleoside reverse transcriptase inhibitor (NNRTI) used in the treatment of HIV-1 infections in combination with other antiretroviral agents.
Eugenol, C10H12O2,A phenol used for the temporary relief of toothaches.
Everolimus, C53H83NO14,A mammalian target of rapamycin (mTOR) kinase inhibitor used to treat various types of malignancies.
Exametazime, C13H28N4O2,Exametazime is a diagnostic radiopharmaceutical agent commonly used for the preparation of Tc99m Exametazime injection. It acts as a chelating agent for the radioisotope technetium-99m to form a cationic complex....
Exemestane, C20H24O2,An aromatase inhibitor used to treat breast cancer in postmenopausal women after treatment with tamoxifen.
Ezetimibe, C24H21F2NO3,"A cholesterol absorption inhibitor used to lower total cholesterol, LDL-C, Apo-B, and non-HDL-C in primary hyperlipidemia and familial cholesterolemia."
Ezogabine, C16H18FN3O2,An antiepileptic agent used as an adjuvant treatment of partial-onset seizures.
Famciclovir, C14H19N5O4,"A nucleoside analog DNA polymerase inhibitor used for the treatment of recurrent cold sores and genital herpes in healthy patients and patients with HIV, and to manage herpes zoster."
Famotidine, C8H15N7O2S3,"A histamine H2 receptor antagonist used to treat duodenal ulcers, benign gastric ulcers, GERD, and Zollinger-Ellison syndrome."
Favipiravir, C5H4FN3O2,"An antiviral used to manage influenza, and that has the potential to target other viral infections."
Febuxostat, C16H16N2O3S,A xanthine oxidase inhibitor used for the management of chronic hyperuricemia in adults with gout who have an inadequate response or intolerance to allopurinol.
Fedratinib, C27H36N6O3S,"Fedratinib is indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythemia vera or post-essential thrombocythemia) myelofibrosis.[L8090,L47016]"
Felbamate, C11H14N2O4,An anticonvulsant used to treat severe epilepsy.
Felodipine, C18H19Cl2NO4,A calcium channel blocker used to treat hypertension.
Fenbufen, C16H14O3,"Fenbufen is a non-steroidal anti-inflammatory drug used primarily to treat inflammation in osteoarthritis, ankylosing spondylitis, and tendinitis. It can also be used to relieve backaches, sprains, and fractures. Fenbufen is..."
Fenfluramine, C12H16F3N,"Fenfluramine is a phenethylamine that is structurally similar to serotonin. Due to its ability to increase extracellular serotonin levels, modulate serotonergic and other neurologic receptors, and control neurotransmission, it is effective in treating pharmacoresistant seizures."
Fenofibrate, C20H21ClO4,"A peroxisome proliferator receptor alpha activator used to lower LDL-C, total-C, triglycerides, and Apo B, while increasing HDL-C in hypercholesterolemia, dyslipidemia, and hypertriglyceridemia."
Ferumoxides,,
Ferumoxsil,,
Ferumoxytol, Fe3O4,"An intravenous iron replacement product used to treat iron deficiency anemia (IDA) in patients with chronic kidney disease (CKD), or in patients who are unable to tolerate or who have not responded adequately to oral iron supplementation."
Fesoterodine, C26H37NO3,"An antimuscarinic agent used in the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and frequency."
Fexinidazole, C12H13N3O3S,An orally bioavailable 2-substituted 5-nitroimidazole used to treat early- and late-stage human African trypanosomiasis caused by Trypanosoma brucei gambiense.
Fexofenadine, C32H39NO4,A selective H1-antagonist for the symptomatic treatment of seasonal allergic rhinitis and chronic idiopathic urticaria.
Fezolinetant, C16H15FN6OS,A non-hormonal drug used to treat moderate to severe vasomotor symptoms due to menopause.
Fidaxomicin, C52H74Cl2O18,A macrolide antibiotic used to treat diarrhea associated with Clostridium difficile infection.
Filgotinib, C21H23N5O3S,A Janus kinase (JAK) 1 selective inhibitor used to treat cases of rheumatoid arthritis that are unresponsive to conventional treatments.
Finafloxacin, C20H19FN4O4,"Finafloxacin is indicated for the treatment of acute otitis externa (AOE) with or without an otowick, caused by susceptible strains of Pseudomonas aeruginosa and Staphylococcus aureus in patients age 1..."
Finasteride, C23H36N2O2,An antiandrogenic compound that is used for the treatment of symptomatic benign prostatic hyperplasia (BPH) and male pattern hair loss in adult males by inhibiting Type II 5-alpha reductase.
Finerenone, C21H22N4O3,"A nonsteroidal mineralocorticoid receptor antagonist indicated to lower the risk of eGFR decline, end stage kidney disease, cardiovascular death, heart attack, and hospitalization for heart failure in chronic kidney disease associated with type 2 diabetes."
Fingolimod, C19H33NO2,A sphingosine 1-phosphate receptor modulator used to treat patients with the relapsing-remitting form of multiple sclerosis (MS) and studied to manage lung complications of COVID-19.
Flavin adenine dinucleotide, C27H33N9O15P2,A coenzyme form of vitamin B2 used in clinical conditions associated with vitamin B2 deficiency.
Flavin mononucleotide, C17H21N4O9P,"A form of vitamin B2 used to restore riboflavin in anemia, migraine, alcoholism, and hyperhomocysteinemia."
Flavone, C15H10O2,
Flavoxate, C24H25NO4,"A muscarinic antagonist and spasmolytic used for the symptomatic relief of conditions associated with lack of muscle control in the bladder, such as dysuria, urgency, and nocturia."
Flecainide, C17H20F6N2O3,A class Ic antiarrhythmic agent used to manage atrial fibrillation and paroxysmal supraventricular tachycardias (PSVT).
Flibanserin, C20H21F3N4O,"A 5-HT receptor modulator used for the treatment of selected premenopausal women with acquired, generalized hypoactive sexual desire disorder (HSDD)."
Floctafenine, C20H17F3N2O4,An anti-inflammatory analgesic used to manage mild to moderate acute pain.
Florbetaben F-18, C21H26FNO3,A radiopharmaceutical diagnostic agent used during Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients to diagnose the causes of cognitive impairment.
Florbetapir (18F), C20H25FN2O3,A radiopharmaceutical diagnostic agent used during Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients to diagnose the causes of cognitive impairment.
